Temperatur,Kelembaban,Wind speed,Ketinggian air,Kondisi
35.0,23.0,63.0,47.0,2.0
36.0,46.0,73.0,52.0,3.0
34.0,39.0,14.0,44.0,2.0
31.0,66.0,75.0,31.0,1.0
31.0,77.0,52.0,36.0,1.0
34.0,56.0,61.0,47.0,2.0
32.0,64.0,20.0,38.0,1.0
31.0,67.0,37.0,34.0,1.0
25.0,87.0,62.0,28.0,0.0
36.0,21.0,66.0,53.0,3.0
37.0,45.0,33.0,52.0,2.0
32.0,68.0,57.0,39.0,1.0
32.0,61.0,74.0,39.0,1.0
33.0,47.0,72.0,41.0,2.0
34.0,56.0,29.0,40.0,2.0
38.0,33.0,30.0,56.0,3.0
25.0,83.0,23.0,28.0,0.0
36.0,25.0,44.0,59.0,3.0
31.0,78.0,64.0,31.0,1.0
30.0,82.0,57.0,29.0,0.0
29.0,96.0,35.0,29.0,0.0
38.0,37.0,30.0,51.0,3.0
24.0,83.0,46.0,29.0,0.0
31.0,66.0,55.0,37.0,1.0
37.0,26.0,50.0,58.0,3.0
31.0,62.0,14.0,39.0,1.0
34.0,55.0,28.0,49.0,2.0
34.0,50.0,52.0,44.0,2.0
34.0,62.0,54.0,42.0,2.0
27.0,99.0,45.0,27.0,0.0
34.0,41.0,96.0,43.0,2.0
31.0,79.0,88.0,36.0,1.0
29.0,92.0,31.0,28.0,0.0
31.0,76.0,59.0,37.0,1.0
33.0,46.0,62.0,43.0,2.0
30.0,87.0,41.0,29.0,0.0
35.0,32.0,61.0,55.0,3.0
30.0,80.0,67.0,25.0,0.0
34.0,55.0,81.0,43.0,2.0
27.0,92.0,41.0,29.0,0.0
23.0,98.0,83.0,26.0,0.0
26.0,87.0,44.0,27.0,0.0
37.0,35.0,47.0,51.0,3.0
23.0,74.0,6.0,45.0,2.0
24.0,15.0,87.0,47.0,2.0
37.0,44.0,56.0,37.0,1.0
31.0,56.0,49.0,34.0,1.0
32.0,57.0,47.0,42.0,2.0
36.0,31.0,72.0,52.0,3.0
33.0,84.0,59.0,29.0,0.0
39.0,75.0,93.0,38.0,1.0
29.0,86.0,82.0,28.0,0.0
33.0,50.0,80.0,37.0,1.0
35.0,58.0,68.0,48.0,2.0
20.0,82.0,92.0,26.0,0.0
34.0,45.0,38.0,40.0,2.0
35.0,65.0,10.0,36.0,1.0
